,month,humidity,pressure,temperature,wind,weather
388,spring,87,1016,5,0,fog
389,spring,87,1016,5,0,sky_is_clear
390,spring,93,1017,5,2,mist
391,spring,87,1017,5,2,sky_is_clear
392,spring,93,1017,6,1,fog
393,spring,71,1017,9,1,scattered_clouds
394,spring,67,1017,13,2,scattered_clouds
395,spring,59,1017,16,4,few_clouds
396,spring,59,1017,17,4,scattered_clouds
397,spring,59,1017,18,4,broken_clouds
398,spring,59,1016,18,4,broken_clouds
399,spring,55,1016,18,6,broken_clouds
400,spring,52,1015,18,5,broken_clouds
401,spring,63,1015,17,5,broken_clouds
402,spring,67,1015,16,4,broken_clouds
403,spring,72,1016,16,3,overcast_clouds
404,spring,72,1017,16,4,overcast_clouds
405,spring,77,1016,16,4,overcast_clouds
406,spring,77,1015,16,4,overcast_clouds
407,spring,72,1015,16,4,light_intensity_drizzle
408,spring,77,1014,16,5,overcast_clouds
409,spring,77,1014,16,4,light_rain
410,spring,93,1013,17,3,light_rain
411,spring,93,1012,17,6,light_rain
412,spring,93,1012,17,5,light_rain
413,spring,93,1011,17,5,overcast_clouds
414,spring,93,1011,17,6,moderate_rain
415,spring,93,1011,17,8,moderate_rain
416,spring,93,1011,17,6,moderate_rain
417,spring,93,1010,18,5,moderate_rain
418,spring,93,1009,18,4,mist
419,spring,93,1009,18,5,heavy_intensity_rain
420,spring,93,1008,18,6,moderate_rain
421,spring,93,1008,18,9,moderate_rain
422,spring,93,1007,19,5,moderate_rain
423,spring,93,1006,19,5,mist
424,spring,93,1006,19,4,mist
425,spring,88,1005,19,4,mist
426,spring,88,1005,19,3,overcast_clouds
427,spring,93,1005,18,5,mist
428,spring,93,1005,18,4,mist
429,spring,100,1005,18,7,mist
430,spring,100,1005,18,3,mist
431,spring,93,1005,18,3,mist
432,spring,100,1005,18,3,mist
433,spring,100,1006,18,3,mist
434,spring,100,1006,17,2,sky_is_clear
435,spring,100,1006,17,2,sky_is_clear
436,spring,100,1006,16,1,sky_is_clear
437,spring,100,1006,16,1,sky_is_clear
438,spring,100,1006,15,1,sky_is_clear
439,spring,100,1006,15,0,sky_is_clear
440,spring,100,1006,14,0,sky_is_clear
441,spring,100,1006,14,0,mist
442,spring,93,1006,14,0,sky_is_clear
443,spring,87,1006,14,1,sky_is_clear
444,spring,81,1006,15,2,few_clouds
445,spring,75,1006,15,3,few_clouds
446,spring,69,1006,15,4,few_clouds
447,spring,63,1006,15,5,scattered_clouds
448,spring,57,1006,16,5,scattered_clouds
449,spring,51,1006,16,6,scattered_clouds
450,spring,45,1007,16,7,scattered_clouds
451,spring,48,1008,15,7,scattered_clouds
452,spring,50,1008,14,6,scattered_clouds
453,spring,53,1009,13,5,few_clouds
454,spring,55,1010,12,3,sky_is_clear
455,spring,58,1011,11,2,heavy_snow
456,spring,47,1010,11,6,heavy_snow
457,spring,50,1011,11,6,moderate_rain
458,spring,54,1011,11,3,sky_is_clear
459,spring,54,1012,10,5,heavy_snow
460,spring,62,1012,10,7,heavy_snow
461,spring,66,1012,10,4,heavy_snow
462,spring,62,1013,9,5,heavy_snow
463,spring,62,1014,8,5,scattered_clouds
464,spring,63,1013,10,5,scattered_clouds
465,spring,64,1013,11,5,few_clouds
466,spring,65,1013,12,5,sky_is_clear
467,spring,66,1013,13,6,sky_is_clear
468,spring,51,1015,16,6,few_clouds
469,spring,39,1014,18,4,scattered_clouds
470,spring,39,1014,18,6,scattered_clouds
471,spring,39,1014,17,6,scattered_clouds
472,spring,42,1014,16,5,scattered_clouds
473,spring,42,1015,14,6,sky_is_clear
474,spring,39,1015,13,3,sky_is_clear
475,spring,39,1016,12,6,sky_is_clear
476,spring,41,1016,12,7,sky_is_clear
477,spring,44,1017,12,6,heavy_snow
478,spring,44,1017,11,6,heavy_snow
479,spring,47,1017,11,7,heavy_snow
480,spring,54,1017,11,7,heavy_snow
481,spring,54,1017,10,7,heavy_snow
482,spring,58,1017,10,4,heavy_snow
483,spring,58,1018,10,3,few_clouds
484,spring,62,1018,9,3,few_clouds
485,spring,62,1018,9,4,few_clouds
486,spring,66,1019,10,7,few_clouds
487,spring,62,1019,12,6,sky_is_clear
488,spring,66,1020,14,5,sky_is_clear
489,spring,58,1019,15,4,sky_is_clear
490,spring,51,1018,17,5,sky_is_clear
491,spring,48,1018,18,6,few_clouds
492,spring,40,1016,20,6,sky_is_clear
493,spring,37,1016,20,5,sky_is_clear
494,spring,40,1016,18,4,sky_is_clear
495,spring,37,1017,16,5,sky_is_clear
496,spring,42,1017,15,5,sky_is_clear
497,spring,42,1018,15,7,sky_is_clear
498,spring,48,1018,14,5,sky_is_clear
499,spring,58,1019,12,1,sky_is_clear
500,spring,58,1018,11,2,few_clouds
501,spring,62,1018,10,1,heavy_snow
502,spring,66,1018,9,2,heavy_snow
503,spring,66,1018,9,2,few_clouds
504,spring,71,1018,8,1,scattered_clouds
505,spring,71,1019,8,1,heavy_snow
506,spring,71,1019,8,1,broken_clouds
507,spring,81,1019,8,0,broken_clouds
508,spring,62,1020,10,2,broken_clouds
509,spring,51,1020,14,0,scattered_clouds
510,spring,55,1020,15,0,broken_clouds
511,spring,55,1020,15,0,overcast_clouds
512,spring,52,1020,16,0,light_rain
513,spring,52,1019,17,1,overcast_clouds
514,spring,63,1019,16,2,mist
515,spring,72,1018,15,3,mist
516,spring,72,1018,16,0,broken_clouds
517,spring,72,1019,15,2,light_rain
518,spring,77,1019,14,2,overcast_clouds
519,spring,72,1019,14,2,overcast_clouds
520,spring,72,1019,14,2,light_rain
521,spring,82,1019,13,2,mist
522,spring,87,1019,13,3,mist
523,spring,87,1019,13,3,mist
524,spring,87,1019,13,3,overcast_clouds
525,spring,93,1019,13,5,mist
526,spring,93,1019,13,2,mist
527,spring,93,1019,13,4,mist
528,spring,93,1020,13,4,mist
529,spring,93,1020,13,4,mist
530,spring,87,1020,13,0,mist
531,spring,87,1021,13,3,light_intensity_drizzle
532,spring,87,1021,13,2,light_intensity_drizzle
533,spring,90,1021,14,2,overcast_clouds
534,spring,93,1021,14,3,mist
535,spring,87,1020,14,4,mist
536,spring,93,1020,15,5,light_rain
537,spring,82,1020,15,5,mist
538,spring,82,1020,15,5,mist
539,spring,82,1020,15,4,mist
540,spring,82,1020,15,5,mist
541,spring,82,1021,14,4,mist
542,spring,82,1021,14,3,light_rain
543,spring,77,1022,14,4,mist
544,spring,82,1022,14,3,mist
545,spring,82,1022,13,2,overcast_clouds
546,spring,82,1022,13,2,overcast_clouds
547,spring,87,1023,13,3,overcast_clouds
548,spring,82,1023,13,3,overcast_clouds
549,spring,82,1023,13,2,overcast_clouds
550,spring,82,1023,13,1,overcast_clouds
551,spring,82,1023,13,2,overcast_clouds
552,spring,76,1023,13,3,light_rain
553,spring,82,1023,12,2,overcast_clouds
554,spring,76,1024,13,2,mist
555,spring,71,1024,13,2,mist
556,spring,76,1024,13,3,mist
557,spring,72,1025,14,2,overcast_clouds
558,spring,72,1025,15,3,mist
559,spring,72,1025,16,4,mist
560,spring,72,1025,16,3,mist
561,spring,77,1024,16,3,mist
562,spring,67,1024,16,3,haze
563,spring,67,1024,16,3,haze
564,spring,67,1025,15,4,haze
565,spring,63,1025,15,3,haze
566,spring,67,1024,15,2,overcast_clouds
567,spring,67,1024,15,2,overcast_clouds
568,spring,72,1024,14,1,overcast_clouds
569,spring,72,1024,14,1,overcast_clouds
570,spring,72,1024,14,2,overcast_clouds
571,spring,82,1023,14,1,few_clouds
572,spring,77,1023,14,1,overcast_clouds
573,spring,77,1023,14,1,overcast_clouds
574,spring,77,1023,14,1,overcast_clouds
575,spring,77,1023,14,0,overcast_clouds
576,spring,82,1023,14,2,overcast_clouds
577,spring,82,1023,14,2,mist
578,spring,82,1024,15,1,mist
579,spring,77,1023,15,2,mist
580,spring,74,1023,16,2,broken_clouds
581,spring,72,1023,17,2,overcast_clouds
582,spring,72,1022,18,2,overcast_clouds
583,spring,72,1022,18,2,overcast_clouds
584,spring,68,1021,18,2,overcast_clouds
585,spring,68,1021,18,1,overcast_clouds
586,spring,72,1020,18,2,overcast_clouds
587,spring,72,1020,17,2,overcast_clouds
588,spring,72,1020,17,0,overcast_clouds
589,spring,72,1021,17,1,overcast_clouds
590,spring,72,1020,17,4,overcast_clouds
591,spring,72,1020,17,3,overcast_clouds
592,spring,72,1020,16,2,overcast_clouds
593,spring,77,1020,16,2,overcast_clouds
594,spring,72,1019,16,1,overcast_clouds
595,spring,67,1019,16,2,overcast_clouds
596,spring,72,1018,16,1,overcast_clouds
597,spring,82,1017,16,2,overcast_clouds
598,spring,88,1017,15,2,overcast_clouds
599,spring,88,1017,15,2,overcast_clouds
600,spring,88,1017,15,4,mist
601,spring,82,1017,16,2,mist
602,spring,77,1017,16,3,haze
603,spring,77,1017,16,3,mist
604,spring,72,1017,18,4,mist
605,spring,72,1016,17,4,mist
606,spring,72,1016,18,5,overcast_clouds
607,spring,72,1015,18,6,overcast_clouds
608,spring,72,1015,18,5,overcast_clouds
609,spring,72,1014,18,5,overcast_clouds
610,spring,68,1014,17,4,broken_clouds
611,spring,77,1014,16,4,overcast_clouds
612,spring,77,1014,15,5,overcast_clouds
613,spring,72,1014,15,5,broken_clouds
614,spring,77,1014,15,5,broken_clouds
615,spring,82,1014,15,4,broken_clouds
616,spring,77,1013,14,5,broken_clouds
617,spring,77,1013,14,5,broken_clouds
618,spring,77,1013,14,6,overcast_clouds
619,spring,72,1012,14,8,overcast_clouds
620,spring,72,1012,14,7,overcast_clouds
621,spring,67,1012,14,8,overcast_clouds
622,spring,62,1012,14,7,overcast_clouds
623,spring,62,1012,13,10,overcast_clouds
624,spring,67,1012,13,8,overcast_clouds
625,spring,67,1012,13,8,overcast_clouds
626,spring,71,1012,13,10,overcast_clouds
627,spring,71,1012,13,9,overcast_clouds
628,spring,67,1011,13,8,overcast_clouds
629,spring,72,1011,14,10,overcast_clouds
630,spring,72,1009,14,9,overcast_clouds
631,spring,67,1008,14,6,overcast_clouds
632,spring,72,1007,14,8,broken_clouds
633,spring,82,1007,14,8,light_intensity_drizzle
634,spring,72,1007,14,8,light_intensity_drizzle
635,spring,77,1007,14,11,light_intensity_drizzle
636,spring,72,1006,14,10,light_intensity_drizzle
637,spring,72,1006,14,11,overcast_clouds
638,spring,76,1006,14,13,overcast_clouds
639,spring,71,1005,13,10,broken_clouds
640,spring,71,1005,13,12,overcast_clouds
641,spring,71,1004,13,7,overcast_clouds
642,spring,71,1003,12,8,overcast_clouds
643,spring,76,1002,12,7,overcast_clouds
644,spring,71,1001,12,9,overcast_clouds
645,spring,76,1000,12,8,overcast_clouds
646,spring,76,998,12,9,light_rain
647,spring,76,996,12,9,overcast_clouds
648,spring,82,995,12,9,light_rain
649,spring,76,994,12,12,mist
650,spring,82,992,12,11,moderate_rain
651,spring,82,990,12,13,moderate_rain
652,spring,82,987,13,15,mist
653,spring,87,984,13,13,heavy_intensity_rain
654,spring,87,981,13,13,moderate_rain
655,spring,87,978,14,17,mist
656,spring,87,974,15,17,mist
657,spring,82,971,16,21,mist
658,spring,87,968,16,17,light_rain
659,spring,88,966,16,20,mist
660,spring,88,967,16,16,moderate_rain
661,spring,93,970,16,19,mist
662,spring,93,973,15,22,mist
663,spring,87,976,15,25,mist
664,spring,87,978,14,22,light_rain
665,spring,87,981,13,19,mist
666,spring,87,983,13,19,light_rain
667,spring,76,983,12,15,light_rain
668,spring,82,985,12,12,light_rain
669,spring,93,987,13,9,light_rain
670,spring,67,988,13,11,light_rain
671,spring,62,990,12,12,light_rain
672,spring,62,991,12,11,light_rain
673,spring,67,992,12,11,light_rain
674,spring,71,993,12,10,moderate_rain
675,spring,71,994,11,7,light_rain
676,spring,71,995,13,9,light_rain
677,spring,66,995,12,9,light_rain
678,spring,71,996,11,6,light_rain
679,spring,66,996,11,7,light_rain
680,spring,66,997,11,6,light_rain
681,spring,67,997,11,4,light_rain
682,spring,71,998,11,3,light_rain
683,spring,71,998,11,3,light_rain
684,spring,76,998,10,2,light_rain
685,spring,71,998,9,5,overcast_clouds
686,spring,71,998,9,5,overcast_clouds
